Subject,EnglishStrong,EnglishWeak,RussianStrong,RussianWeak
1,-0.00210073,0.011187489,0.005793487,0.001220518
2,0.005225786,0.008648612,-0.000770927,0.002418028
3,0.021562841,0.00324073,0.005584956,0.011832608
4,0.00236267,0.015591016,-0.004104897,0.000366604
5,0.015471669,0.012421627,0.01829936,0.003820555
6,0.022340272,0.02138519,0.019463151,0.017607633
7,0.018016059,0.009392904,0.011080622,0.009862072
8,0.022744922,0.018646944,0.012989164,0.020358105
9,0.006092071,0.011378442,0.011371593,0.010582358
10,-0.012871559,-2.78E-05,0.004441227,0.006313399
11,0.03311715,0.046130676,0.039312483,0.031786656
12,1.13E-02,0.011750229,0.01332317,0.011702424
13,0.011788966,0.023148133,0.008203599,0.010031363
14,0.005432119,0.008102782,0.003535496,0.003346124
15,0.010192166,0.00730037,0.006887141,-0.000187235
16,0.008072178,0.021325916,0.016797696,0.013945881
17,0.019461209,0.01076209,0.028976902,0.010009871
18,0.011162126,0.006475474,0.005493244,0.011193512
19,0.009724641,0.015520842,0.006039269,0.006012789