Condition,CoherenceDifference
ES,0.026937174
ES,0.024720472
ES,0.04004574
ES,0.010126459
ES,0.038353896
ES,0.072615091
ES,0.017921242
ES,0.042702288
ES,0.017852795
ES,0.021198776
ES,0.059418129
ES,5.51E-02
ES,0.015722617
ES,0.029553011
ES,0.031172085
ES,0.023206974
ES,0.023452919
ES,0.011989063
ES,0.026459515
EW,0.033164674
EW,0.006945039
EW,0.033888013
EW,0.012508643
EW,0.046753783
EW,0.075698416
EW,0.049023878
EW,0.037758055
EW,-0.003988447
EW,0.015768759
EW,0.086481454
EW,0.019426271
EW,0.02997142
EW,0.037362409
EW,0.059194923
EW,0.066061588
EW,0.052454191
EW,0.016857473
EW,0.011455911
RS,0.019003061
RS,0.017476169
RS,0.038650609
RS,0.017791748
RS,0.069944197
RS,0.047469112
RS,0.060807736
RS,0.027606568
RS,0.064669653
RS,0.013298502
RS,0.067566872
RS,0.021651371
RS,0.042784199
RS,0.036069202
RS,0.023982989
RS,0.053268549
RS,0.045967032
RS,0.02721347
RS,0.039878746
RW,0.028027817
RW,0.005897372
RW,0.041082424
RW,0.017779155
RW,0.065042033
RW,0.03331516
RW,0.047569436
RW,0.053966428
RW,0.038664946
RW,0.044335351
RW,0.04957124
RW,0.010374272
RW,0.024188727
RW,0.024258424
RW,0.028976148
RW,0.036556995
RW,0.060618243
RW,0.03843919
RW,0.025759