Condition,PowerDifference
ES,-0.013999549
ES,0.009493526
ES,0.079376705
ES,-0.009894692
ES,-0.060029168
ES,0.019598885
ES,0.045922627
ES,-0.004118848
ES,-0.001157265
ES,-0.014438372
ES,-0.031836209
ES,4.85E-02
ES,0.009417341
ES,0.00429721
ES,0.048304285
ES,-0.031520091
ES,0.013093363
ES,-0.010141143
ES,0.018814049
EW,0.037963402
EW,0.018044499
EW,-0.126562541
EW,0.028160725
EW,-0.015430315
EW,-0.025463606
EW,0.038524039
EW,0.008454614
EW,-0.0419042
EW,-0.018266256
EW,0.041476102
EW,0.00863253
EW,0.018006834
EW,0.030771801
EW,0.01068475
EW,0.040706875
EW,0.014289303
EW,0.028949454
EW,0.035862538
RS,0.000889059
RS,0.005352711
RS,0.01367937
RS,-0.027461016
RS,0.094486886
RS,0.004481046
RS,-0.037335937
RS,0.026904986
RS,0.009574789
RS,0.036942726
RS,-0.019443321
RS,0.019138249
RS,-0.002910614
RS,0.00151197
RS,0.019115971
RS,-0.003222621
RS,0.007419331
RS,-0.007141389
RS,-0.021819353
RW,-0.005090879
RW,-0.024915579
RW,0.046058845
RW,0.024179415
RW,0.021789527
RW,0.005019434
RW,0.004626019
RW,-0.006768631
RW,0.012371883
RW,-0.013609782
RW,0.019261807
RW,-0.061760273
RW,-0.009215573
RW,0.000958214
RW,-0.063985486
RW,0.028405713
RW,-0.012768284
RW,-0.002924384
RW,-0.035482404